,id,geometry,samples
156,0,POINT (805128.3042297964 2180314.412485644),"[[ 2.2600000e+02  5.3000000e+02  3.7900000e+02  1.0960000e+03
   3.1380000e+03 -7.1101415e-01  7.8447539e-01]]"
157,0,POINT (804282.7713353664 2181220.648772514),"[[ 1.860000e+02  4.310000e+02  2.680000e+02  9.400000e+02  3.792000e+03
  -7.958797e-01  8.679803e-01]]"
158,0,POINT (804294.2019941394 2182010.487084834),"[[ 3.1600000e+02  4.7600000e+02  4.8800000e+02  1.0620000e+03
   2.7300000e+03 -7.0305675e-01  6.9670606e-01]]"
159,0,POINT (803031.98507598 2182711.272315776),"[[ 2.7200000e+02  4.9000000e+02  4.4200000e+02  9.9900000e+02
   2.8790000e+03 -7.0911252e-01  7.3381513e-01]]"
160,0,POINT (802997.3444944271 2182862.9334645877),"[[ 2.8600000e+02  4.8600000e+02  4.4600000e+02  1.0100000e+03
   2.9890000e+03 -7.2028774e-01  7.4032021e-01]]"
161,0,POINT (811537.6450744374 2180092.481076361),"[[ 3.0600000e+02  4.7500000e+02  6.0600000e+02  9.5600000e+02
   2.4630000e+03 -6.7665076e-01  6.0508311e-01]]"
162,0,POINT (813598.5310054515 2180404.8908175454),"[[ 2.430000e+02  5.340000e+02  4.770000e+02  1.128000e+03  3.294000e+03
  -7.210031e-01  7.470167e-01]]"
163,0,POINT (813722.8130082601 2180428.3291027653),"[[ 2.970000e+02  4.900000e+02  5.910000e+02  9.810000e+02  2.586000e+03
  -6.814044e-01  6.279509e-01]]"
164,0,POINT (815112.434870421 2179815.365494294),"[[ 2.65000e+02  5.22000e+02  4.27000e+02  1.00100e+03  3.13900e+03
  -7.14832e-01  7.60516e-01]]"
165,0,POINT (818355.8360738828 2180549.509001061),"[[ 4.7400000e+02  6.4500000e+02  8.6000000e+02  1.1530000e+03
   2.1670000e+03 -5.4125178e-01  4.3178064e-01]]"
166,0,POINT (817933.911563315 2180634.0544241057),"[[ 3.8700000e+02  6.1900000e+02  7.4000000e+02  1.1070000e+03
   2.3260000e+03 -5.7962650e-01  5.1728636e-01]]"
167,0,POINT (818829.4289375858 2180763.399522155),"[[ 3.460000e+02  5.520000e+02  5.780000e+02  1.027000e+03  2.318000e+03
  -6.153310e-01  6.008287e-01]]"
168,0,POINT (821691.0603781282 2184175.6816424076),"[[ 4.260000e+02  7.190000e+02  6.970000e+02  1.243000e+03  2.813000e+03
  -5.928652e-01  6.028490e-01]]"
169,0,POINT (820787.2362683915 2184318.695590521),"[[ 4.2000000e+02  6.9900000e+02  7.1300000e+02  1.1770000e+03
   2.6340000e+03 -5.8055806e-01  5.7394683e-01]]"
